7E3B4287	Information not present<---Pattern Recognition and Neural Networks
76DA5F84	Artificial Intelligence<---Quantifying inductive bias: AI learning algorithms and Valiant's learning framework
80C9AA1D	Information not present<---Learning Algorithms for Connectionist Networks: Applied Gradient Methods of Nonlinear Optimization
77A9B487	Foundations of Computer Science<---Closest-point problems
7C90AFAB	Ibm Systems Journal<---A method of programming measurement and estimation
7B24B221	Pattern Recognition<---Handwritten numeral recognition using self-organizing maps and fuzzy rules
04CA47F0	Information not present<---Problems of computer - aided concept formation
7D23597D	IEEE Transactions on Power Systems<---An artificial intelligence framework for online transient stability assessment of power systems
7C278E22	IEEE Transactions on Information Theory<---A universal data compression system
65106721	IEEE Transactions on Computers<---Synthesis of Minimal Binary Decision Trees
7A6252ED	Acta Psychologica<---Knowledge engineering techniques for utility identification
5C2B1825	Information not present<---Computational learning theory: an introduction
7BA2A3DD	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Nosing Around the Neighborhood: A New System Structure and Classification Rule for Recognition in Partially Exposed Environments
05968A24	Information not present<---Combining Cross-Validation and Search
791E4261	Communications of The ACM<---An interference matching technique for inducing abstractions
75A05F9B	Expert Systems With Applications<---Fuzzy indexing and retrieval in case-based systems
75864A32	Neural Networks<---On the approximate realization of continuous mappings by neural networks
0B6E7E46	Information not present<---Maximum likelihood from incom-plete data via the EM algorithm
7D2D4F03	Automatica<---Decision trees and transient stability of electric power systems
7D1D5C06	Information not present<---A fuzzy system for indoor mobile robot navigation
798D6180	IEEE Transactions on Computers<---A Partitioning Algorithm with Application in Pattern Classification and the Optimization of Decision Trees
80B879CA	International Joint Conference on Artificial Intelligence<---Hybrid learning using genetic algorithms and decision trees for pattern classification
5A00FDB1	Neural Information Processing Systems<---Neural Information Processing Systems
75AFDCE3	Journal of the ACM<---Conversion of Limited-Entry Decision Tables to Optimal Computer Programs II: minimum storage requirement
6A7F33A2	International Conference on Robotics and Automation<---Automatic generation of fuzzy control rule by machine learning methods
78B18DE4	Numerische Mathematik<---SMOOTHING NOISY DATA WITH SPLINE FUNCTIONS: ESTIMATING THE CORRECT DEGREE OF SMOOTHING BY THE METHOD OF GENERALIZED CROSS-VALIDATION
