5A8D9731	7CE46771 7F6E0CDD 5BC354FE 5899AC5D 81627C68 7FBF1715
805031C6	7849ABA5 813FF46C 7CD99DD2 7ED19FE3 5AC68651 7F6B7D05 7FA46387 7A3686B5 7D81ED4B 7F5CB69F 7FD87C1A 7FBF1715 80077A0A 7F22E65A
7CEF4BED	79808B05 7C98E5B5 7E580B2E 80F81DFE 5B5CFA77 5BC354FE 7C11C902 7CE5A85A 5906039B 7E4BB915 76E0C500 7BDEF745 7CE46771 78AB224D 809F902B
7DECC3A7	58A89ABC 7EC3005F 7FCE99CF 8116A2B9 768EF63E 80238400 75844BFC 77A49922 5AF4052A 80C8CD6A 7BAAE30C 75B3A3D1 7E646DA5 7D9C52AF 59DC8646 7816FC03 81FCB548 78F1AF77 7F54E4F1 7F11DE69
7D83ED01	7530D118 08AE26ED 76E0C500
80A0EC9D	5CEB8838 81627C68 07075406
7F499FE4	7BB7A245 5DF29707 7AE394D1 7D4D6964 7E468ABF 76A803E2 7B2E9012 781F1AFE 85F3F54A 801D0997 7DC7CAD5 7B40218E 074B1CC0 593A2147 6F712705 7D7381E5 7DAD667B 23955693
7EEEB94D	7FB84C9A
76A27E5C	7E419837 81592338 7FD9AA5C 7EF560E7 7F6D3A8A 7B40B110 7D798CBF 7D1769E2 7F650096
7DA4004D	79F82806
81242C74	10A50467 81627C68 7FBF1715 58B122E7 7EE3ECC4 75A13D3A 8442A53A 5D5CDAC1 80BA539A 7FDB31C0 823ACE08 75F52320 800FE3B1 6BDEBF4B 7DD32E1D
58D70CD5	5C3800AA 8095883C 820A5FED 7ED21FF5 80AA0505 05D02AAD 77883A10 763A2A8A 7E81A8E0 798F0B2F 6B6470D9 782304B8 7F4D7285 7DAAA170 7E616BF8
78129FCD	5B7556E4 7D6CA186 7E6FC9D7 7ADD1BB8
7FC3B8EC	81017ABC 85F59FBD 0BE4EE92 7CE46771 81627C68 6C6BB610 7C103695 7E4BB915 815C5EB8 7E088792 7FDD2A92 7FAAD91F 7FDA84D6 5B9EFFA0 81F1933D 7D77647F 7BD6C230 79F50A23
78AB224D	0829B7F3 7BDEF745 80D5A362 7E4BB915 100240AA 75D5A653 03821CB3 78382180 77C570F8 75A13D3A 62F8A4A3 6A238E8A
77F76B9E	7E4BB915
7D24E95D	7E86FCBE 7837A113 7E6A70F2 7DD0DA37 5F5634EC 8069D968 7196D06D 7E4BB915 752BB967 032A4F89 5C156717 80060923
5FC7A69D	80F6DC32 7CA9801E 5AE75210 5DD93C4B 80060923 5F97862F 7D58E42C 7FBF1715 79F82806 5ED91CF4 81627C68 815C5EB8
79F4EE44	7AF8EEE5 809F73CE 752C9286 7B025801
5906039B	7B4F83C2 7BA99FD5 76E0C500 80C1B29F 7B4F976A 7A8E6DF8 6A238E8A 78AB224D 0AB7C975 7D58E42C 7530D118 5CEB8838 5B86238E 7E940757 83B47788 76C3F653 81627C68 7F24F3CE 752BB967 7F205640 07671419
7F498585	7D81ED4B 7608E7F9 7B988F6C 7CD99DD2 786CEF6B 7F47A5BF 7D58E42C 5B34C9FE 7F12FD84 7CA9801E
5CCABC57	7073701A
7A065F23	793ED5E7 26B5ED7E 7DFD00FF 7DE3F24E 77A59918 21AD5F7B 2579EA07
7F7B4F08	233D12E1 808DED19 7E05C9AA 7CF7BAD3 05DA19F3 58354A83
79291B39	7F7CC1B0 7B05D034 75CCA6EA 7CF59A17
7E8CD976	7BCA25FC 06A022E1 5E1963AE 78AB224D 7DC456B7 7A06AAF8
75B3BF5C	766C3DCB 7F0F189C 592BFFF8 77C570F8 77E78A17 7819E481 7FBF1715 753422A6 81627C68 0C54D057
80B178D0	81627C68 7F7D619A 7819E481
7FAE2484	7F1D854D 7D46999E 7C5FE362 796606BE
7C16742B	78561220 07192764
7CABDE56	77BD1BF2 5AE63DFF 7ECE9A2F 7CFEE5F7 7FBF1715 8108546D 81627C68 81094F30 79D02E4A 7544D927 7E36CDF3 77BD6BB1 7D81ED4B 7CF75029
7E632E07	7B7BD2B8 7E13D5F6 81D0F73B 6D08AD71 775F8260 7C88C244 06C27878 5931AC6E 76C3F653 79FFC68B
7F106817	7E3C8E0D 7BF8E7A5 813C7103 792DCE8F 73D655E7 7F34A8FB 5C1116AE 693BFA73 7F9C4200 7E63F5C4 7ECE39F2
7F650096	7D269E98 7E1C090A 58354A83 7E568A6B 7C751B5C 7651EE0E 8060BA68
7EEBBE8E	7D549183 78FBBEA7 81627C68 7F154E3F
75FE6A06	8057150C 7DFE9DB8 78396180 79471849 78DA4353 76E0C500 775823DF 7959A514
