7E8E8D4B	77A17192 7E088F74 5E06D58B 7FCE6F87 8174E805 0C2D73E5 0828F035 08A87B31 78354B5A 5B854DD5 80CBF8ED 5F38683E 06636E80 5CDE20B9 804F61D4 81342976
7EFCCDD8	7C7E8D19 807F558A 809B8818 76DD6877 779EE472 79A92B7B 8064455A 80C51C1D 83A7714F 80F2ECA0 7D5511CE 8087710E 78A49804 7F0EA9D4 6F2E4C4C 791F4BE8 7FBFEF23 77372333
7E9C10FD	7D44E990 80966585 7AB52AD6 7CC0D6BA 85FA4762 7CEEA08F 8628345C 786A57F0 7DAB2144 76767D00 80D8A2F5 079BAABF 7F3821A7
7EDF0E0C	5FC75A1E 5AC87A25 77E20D4B 86286A38 7CF7E21E 5CADAD25 69393610 761B8410 788B6545 7DAA3E4F
80DDBC82	7F6CD0F6 7E298F1E 80E0E032 7832E162
770D72BD	751974BA 06951F5C 81CE2C5C 5F78D08A 7F162CB5 7E8B6363 0191D7B2 0351969A 764BE98B 5C985213 7A78D701
7F6B43BB	0238E14C 79ED41AD 58649039 7CF5D996 5E99AE21 7F325855 58CC8C85 7CEE6D07
7F9D01FF	7E5F5B28 7E110B41 7EE026EC 7FEFE463
7CD4FF0D	7F98E7DE 7FBA1A89 7CF0D92E 58D31031 7DDB3113 5E326403 7FE3AB8E 5EB185B2 7CEB5A6A 7E12D7C8 7B9D0F3E
80631D6A	7D283672 80C1AB4E 78C2289D 76F6B46F 7629EC88 784EBF70 0268715F 7B6DD51F 6DC8A681 751974BA 7A84ABF0
7E329705	5A660055 751D28C5 7FCD91A2 76FE0AD5
7F93F9F0	5B32DA70 7E9710E5 7D42ED6F 79264067 76C33DDB 7CEC383A 7DF6B7A1 590D9B59 763F2551 6C9D3EFC 7820E0EE 745DD04E 7631C0CE 5D768447
7FB6000B	800B5BF1 681195DF 7D568FFA 0939A753 0A755A5F 6DC202F1 79A843E0 75419E0E 04C15E4C 7BAAE220 7DAFD4F7 79D4399A 7F3730DA 084CD170
7692D754	77C820C3 7ABB4DF5 595DDAA5 7F726184 7DB3F445 0114ACA4 745AD852 78201E03 7C56C703 6305D5EE 590220C9 7C0A130F 8143F84D 812B7595 7FD16B2E 0C50E767
788D35E1	7DF00821 7EDE761E 7DD4FDBB 611207EB 5F41D56B 80008C6A 5C5BC56D 7A3D2C80 6E851260 5EB6CBA5 7B2E5EC6 80721E8B 69AB1EE3 80490C1C 5B4F62C8 77837F0A
5C4D187F	11AC4DB8 7F30DACD 7F954759 7D9443B8 7AFC16AC 7A9CFCE4
7E8817FE	7976338F 7DD5CF0B 7D4E80BA 7E198D47 7A829592 0C4FCE80 7807C153 7CFD4751 7DCA8937 762E8554 5FE32A21
7DC239FA	5CFE0B07 017345A0 6C8203FC 7EE6F13C 5B6F8C16 574312E6 5BF8186D 7E582A0A 58EE056D 6C0BE060 800B588C 1041F44E 5C55701D 7F3DA9E7 7D4EF06C 7E7A6A5E 590084EB 5B79FD41 5EB84CF5 085F569A
81517F13	7E37E25F 772D34D9 04679348 7FB54D27 7EE1F03A
7FC3D866	799A7F49 76EE2C33 7E4372D3 5EAC485B 7F19D78C 0B096A36 80C1962A 5EFEDAC2 807DA08A 811873C7 59195EF1 7B188FA0 0B6A3907 7906A532 7F300B19 09E0C472 5C3AD2A9 5F8E00E5 7E632AD5 5D5ED61D 7D64DC23
7F2401C4	81436B03 80C63B02
7E45F372	75AB6DF7 753BBA05 8171790E 788A7A99 796B58C9 09EEB542 7D0EEC18 7DDAC25C
7F262030	7FBDCACD 7B9BE170 7C77B2B0 77620FCB 7E3EFA71 8025A1AC 757B134F 7E7F30B7 813A38AB 7D5C825B 7D1E8723 7E52E604 7F054A51 7E4F8065 7E180DA6 7F8D2267 7F29FFCD 7D1DDF77 7E69D725 7FF31951 7F1C1152
800B97FE	7EFC6D81 68C1E485 593CDDF4 7EF82C53 7D77ED0B 8017EF34 78074219
809331B7	80FC3BC9 089871E6 80528A76 7DC96029 78B3B5CC 7F341408 7E2C7A62 088CC3E9 77EA69F3 0175D782 7DD803E4 0AE0101B 7F9BE110 8124B74D 05F9B413 7EE734F3 09FE9617
8021B8FA	78382180 083DB5FB 7E2C1E45 0549A56F 762B9C43 58E0964E 75E26C7F 78698459 7FD1598A 5E477868 78A40AE0 7D948F11 76CCF428
7FD5027B	817A432D 7CF4FF2D 7FC331A9 7CF25D21 7DA8B7A3 8158C2E2 800BE8B3 806AB34B 803BFF40
