Paper_ID,Paper Title,Year,Indegree,Betweenness
806F35BD,Narrowing the semantic gap - improved text-based web document retrieval using visual features,2002,70,70
7E96334C,"Web mining in soft computing framework: relevance, state of the art and future directions",2002,69,127
8035C6E8,Topical web crawlers: Evaluating adaptive algorithms,2004,69,278
7C5CBF21,Predictive caching and prefetching of query results in search engines,2003,69,53
7F2C2173,On image auto-annotation with latent space models,2003,69,126
7610D00B,Multi-document summarization by sentence extraction,2000,69,201
814A9BAE,Query-free news search,2003,66,59
7CCB4F13,On caching search engine query results,2001,66,90
77F32FF9,Effective retrieval with distributed collections,1998,66,864
80F27E0A,Learning query intent from regularized click graphs,2008,65,103
7E1379C6,Personalized query expansion for the web,2007,64,660
7B1DD790,The TIPSTER SUMMAC Text Summarization Evaluation,1999,63,328
7B6B2AAA,Experimentation as a way of life: Okapi at TREC,2000,63,106
8.1044E+21,Design and implementation of a high-performance distributed Web crawler,2002,63,342
778C3EF6,Applying summarization techniques for term selection in relevance feedback,2001,63,835
7FFD55A6,Retrieval models for question and answer archives,2008,62,115
78B87EAD,Discovering key concepts in verbose queries,2008,62,152
81179614,Mining long-term search history to improve search accuracy,2006,61,127
7ABCB147,"Image Retrieval from the World Wide Web: Issues, Techniques, and Systems",2004,61,246
80CB2EEB,A hierarchical monothetic document clustering algorithm for summarization and browsing search results,2004,61,500
7D613389,An effective approach to document retrieval via utilizing WordNet and recognizing phrases,2004,60,454
814D01C3,Efficient query processing in geographic web search engines,2006,59,335
79F268C7,Semantic text similarity using corpus-based word similarity and string similarity,2008,58,138
75C0F40F,Exploring content models for multi-document summarization,2009,58,58
7CAE6170,Spatial variation in search engine queries,2008,57,88
6326433,Feature generation for text categorization using world knowledge,2005,57,178
7D9DAAD8,How Well Can Passage Meaning be Derived without Using Word Order? A Comparison of Latent Semantic Analysis and Humans,1997,56,661
7EF8ED8D,ODISSEA: A Peer-to-Peer Architecture for Scalable Web Search and Information Retrieval,2002,55,278
751B6AF9,Google Scholar citations and Google Web-URL citations: A multi-discipline exploratory analysis,2007,55,79
7D2A8455,Wikipedia-based semantic interpretation for natural language processing,2009,54,519
801985B8,Studying the use of popular destinations to enhance web search interaction,2007,54,322
76A4FE5E,Measuring the semantic similarity of texts,2005,54,50
75741F88,Exploiting Wikipedia as external knowledge for document clustering,2009,54,128
7ED2E9D8,Using WordNet and lexical operators to improve Internet searches,2000,53,129
7EE3F39D,Information search and re-access strategies of experienced web users,2005,53,698
79476328,Generic summarization and keyphrase extraction using mutual reinforcement principle and sentence clustering,2002,53,56
7614E7EA,Generative model-based document clustering: a comparative study,2005,53,95
7B2A012D,The challenges of automatic summarization,2000,52,65
79064342,Optimal crawling strategies for web search engines,2002,52,110
7CF9D6CA,Can social bookmarking enhance search in the web?,2007,52,305
76A2E7D2,Relevant term suggestion in interactive web search based on contextual information in query session logs,2003,51,495
7EE98F0E,Optimizing web search using web click-through data,2004,51,1557
7C33EF3C,Multi-document summarization using cluster-based link analysis,2008,51,170
7EFB9739,Locality in search engine queries and its implications for caching,2002,51,89
75D25A64,Learn from web search logs to organize search results,2007,51,207
80E41878,An exploration of proximity measures in information retrieval,2007,51,548
7FA40D63,Using the wisdom of the crowds for keyword generation,2008,50,336
5D830DA8,Text Classification Using WordNet Hypernyms,1998,50,137
5FB22737,"Query Difficulty, Robustness, and Selective Application of Query Expansion",2004,50,879
7A01A28D,Combining multiple evidence from different types of thesaurus for query expansion,1999,49,580
5F4B20E5,Measuring Search Engine Quality,2001,48,401
7A7F1AEC,Topic themes for multi-document summarization,2005,44,257
7C8994A9,Multi-document summarization via sentence-level semantic analysis and symmetric matrix factorization,2008,43,497
76700A01,Large-scale information retrieval with latent semantic indexing,1997,43,211
7F7EA380,A task-oriented study on the influencing effects of query-biased summarisation in web searching,2003,43,238
7B4155ED,OCELOT: a system for summarizing Web pages,2000,42,223
7518DA52,A similarity-based probability model for latent semantic indexing,1999,42,201
7D788ACD,Statistical Machine Translation for Query Expansion in Answer Retrieval,2007,41,348
