7D1648CC	5FC5A2D1
7E38EB70	7D796D7F 7E2E1AED 80500857 7F81E67D 7D20ACB7 5A6E3B10 58C1C0E5 7DF5479D 7EB3BCB2 7E7CC880 5E1FE316 7E2A1286 5BE049B3 809A2303 728E6CC9 80BB6721 774942A3 7D99CFD6 027C48C6 0B46A5AD 7A5E0878 7DEAFFD2 81569493 7E71940E 80368600 7E1B14AD 7FC7AE3C 789CE007 85B4F057 80060E12 80D21122 78950EBE 59CCB889 5E5DA5C9 8010FCA2
7926CA60	77AC3079 806C0DF3 0A8DE5BE 753804A7 7A9C6563 7DE8F2AB 7C0F549D 7788E8AF 7A12D8B0 7AFA2B24 75223851 7BAE47F2 77396FCE 15C48B14 7075DCD4 79D47BAD 7B560241 7BEF33C0 7B432858 7DBC3C41 58536B91 10F2F39A 5AD85CF1 7B3984D6 807B6474
5F776D23	7E791BA1 78C35ABF 80ADA81C 7CB6C6E6 0599C251 7E6C91F6 7C178991 761E5310 7EEED6E0 7594EEEC 5EB4600B
7A7F3308	80ADA81C 7DA01596 7E791BA1 78ADB7C7 7EE0DE33 7E67E534 7F8F8A2A 80C733FD 74707DC0 7825959C 77BCF3D4
7E744C7D	750BFCFA 5DB71D82 6F6FB5BB 5B0C4A04 7A21380C 7EDF5C91 8137EF0D 7D67A816 01FB595B 7EEA0498 76B54F5C 7EB3540A 7F8A66AF 58E02F88
817682B2	73B182C3 7D873720 8053D160 58B9A222 7F7F296F 8073113B 7DFB6963 8061B5D5 5C10152B 811468CF 734A18EE 5846E7F7 7EE15D0F 80D47585
7F5529CA	5F0D95E6 80D47585 7ECC6253 5E93ECDF 78620E1A 0708D739 813FB175 5E41951A 7EBC26F6 8061E9A8 5936912B 7EC9FD21
007F9767	7FB85950 7A0801EC 7BBF6499 7C0A58C0 04148A8F 7D191177 5E8A323B 05276CFA 7C70E1B5 584A6985 0BB2AEC9 7830BE68
7C66F066	76011CFE 7EE43A69 75A28CC1 7A682D27 77D300E3 7AAB0E82
79C57B7D	809DCDA2 7E3716D0 7E791BA1 80ADA81C 75519E64 7FD039B6 7EE0DE33 80C733FD 7DA01596 77933797 7D7725EC 77CDBB1D 761E5310 7F79614A 7A88C95A 0A8C67DC 76DD0595 7E7D12BF 5B30DF75 799986AF 726FC96C 7F1F5E32 5AB57B55 7B1C4E91 7B1378C0 774C3219
7D572AD1	78ADF6C5 7AD3D3AB 66805722 68996528 756F242A 0B413698 5F8565D1 75F94C85 779ECECF 8079704E 3B73C032 5F34338D 758D8B17 76430CF0 80009580 064DF15C 792C6AF0 7D20ACB7 76F9C5FE 7E2B4681 77D27976 7BBE88C5 7EB535C1 7F1EA0BC 7AC34FC5 80DAD72C 79DC03AB 7A09EFEF 7A9A21D8 7AA722DD 5AEC5989 81397A72 59E3CD6F 77B095D5 7558DF0F 7A178FF2 7C5ED991 78181B11 5EDF96C3 759A788C 7AA714C2 7FE85BB3 5EB6F0FC 7B2FF172 768813C1 7A1EA785 77089B07
7AD6EF77	80EEC8BE 8019F6EB 7AA46D07 7FB7031B
0292D41B	5CBC8D04 0BDBF77A 796C6BDF 79C1F278 7B66AF8C 7BB194B0 7B797E4D 7EB89870 809DCDA2 7E8CA9D3 8217820C 775AEFED 7D912BC1 7C081D1F 7C9F71CE 8003B64F 79C57711 7A8BFAA3 7CF8EE58 82437D4F 81248AC2 770C9CAC 7DF78CD4 0285349E 755B08CE 78EA7F35 7911A7C3 77E9EF9B 7A62940B 78D352BB
793257FB	81666513 7FA34A24 7A549639 7C64A48E 7D046DA4 7DC71310 5A6E3B10 72A2A6FB 7F3AD857 75201DC3 7828C575 5E99AE21 5FBADB88 76ACC0C9 5CF01605 784A62EA 5A85730F 7B76D70C 7C6F73B1 7F80F167 7DF90580 7C30F55D 7F18D701 7AFC5AEE 0621D776 76770BA4 7F54232B 78ADADEA 78243D10
7B4DA32F	7E90CE8B 7C178991 5AF4A69D 6C4B70FA 5A19C34F 8092AC9E 7F914038 5B2FD6D3 59726DDC 74E86518 726FC96C 802FFC6C 816A45BB 758E94D9 62539784 7E8C67F3
7A63D913	7BD1FD89 5BC8BA8C 76B6C72F 7EFF707A 75478A17
7CB7F8D7	69B2A725 78A669B4 7D408E1D 75A13D3A 5D287D49 7D24458E 8110D7FC 5AB65F3C 649557F3 7CFD4751 7F9BE110 7AC1C706 7E3E790E 6D5D0722 80BB6721 5A85730F 5EE224AC 588D57DE 7F2F9235 5BF59849 7DD5CF0B 7E198D47 80626913 79ED41AD 7E87BC6D 5E824C4A 7F68D937 7EEC00B0 7805FCAC 7807C153 7D7CB26E 80BF4912 5AA22ABD 7BC05D94 5E4C7262 01BB2E3E 04BFD5B4 7F4BBF4A 6489A699 7FC9497C 7717557C 7C7EEB6A 7C4942A5 809A2303
7DFFF9D5	7F6875D1 7F9D9D6A 75A2AB73 0B72765E 5BA55B5E 77BA583C 7C910851 5B9D435C 5E544A6C 7AAEEEE2 77479A39 2E3DAECD 7618733D 7BB2541D 77422769 77B9E1A1 7AB1DA41 795CB3DF
7B4DDEE0	7732533A 7A31CF57 7B432A7C 80082559 0780EF3F 0A1F7CF7 7A3C23D1
7CC117F5	7656EAF1 7CD2376F 6C70CA47 7D7BCE21 71865AC4 7674D253 71C18C2A 75DFBDD9 790093C6 799A6F74 801BA9E5 7744810D 81320539 75B27F9D 78014F05 0EF4CB2F 763840DF 778A5247 80675BD3 81655502 7C3DF3F9 644D27E2 75B11751
7D046DA4	58C1C0E5 802A6045 7D90A80B 8124B74D 6F5DAEC5 7D20ACB7 7FFFA0DF 5CD66F0E 5EB6F0FC 5D1BD98E 80DB18D7
7EE43A69	5BC98A9B 7A90F123 791586D0
7A9D691C	0AFE91C5 5DAE82C4 770DA831 77F2E8DC 7ED2A86F 01FDBB8E 775EDCB5 79C31472 0C426F32 782A5B0C 7DAB4870 75AB9A45 6D4313B8 7F1B34DC 5C7DAB1D 7743C37B 00420E3C 7909651B 7F730F15 5B9DF265 7808DA1B 7AB4006F 7A80DDF5 7C330565 7887728C 08EB75AF 7B831CC2 5E23EED9
7EEA0498	7D67A816 5DB71D82 7EB3540A 80ADA81C 7D9067C3 7F8A66AF 750BFCFA 73FED56B
