7FAB472E	7A257281 76F8E2F7 7E82D131 77271972
781CEC06	787AE77F 8148CBE9 7ECFBEC7 7611C90C 79B3C142 7C31FF98 7B1CD07C
781BC823	5E4FD53A 7B61551E 8023C3D2 801FFE7D 26D11D20 7ED2629A 09C30065 075DF1C7 8041E60C 008B8404 813D5FF4 7FA49982 80EB1579 7A8AB444 7812615D 863E7A06 75B44174 5962D54F 7E122A22
7E6DA904	0A5855FF 7DD87772 8121DF65 7F3C5090 791FAA0E
7FF1AC5E	7ED46F57 7D29FF50 0B0CF8ED 79EA5E98 7F41F826 80A4EBF3 7ED30385 802CBC64 7625805D 58A1BB98
7FA9CD3E	7FD670CC 770FBAEE 810CEE2D 7EFEE259 5C950A7D 6E67303F 5893ED43 7E15589A 80127988 812A2428 79B3C142 7FDE7111 02FC84A8 7E723C30 072DFAA2
7EC981DB	7FE119F4 01D10F37 7E83CCD0 76E01420 7C89354D 7FC25FD8 801AD0EC 779C010B 802E5C43 79EBA3DB 761A87B5 7C915A7C 80A0E5FD 7E8A1A0E 7F64E6E7 80E9D609 8125E327 808E8062 75989761 7C8A9625 5E1B6FB2 7FC9569C
7FD5E404	5B9A0D4D 7A022CB9 787AE77F 809138D8 7853CF1B 79E7ED6F 80146C6C 7664E055 7DA6A1B1 7E5C6254 12715A0B 7B5D25A6 78C7F0E9 5BB36109 642BB11B 7D8DA9FF 7AC9BB51 7D596A25 7E978D28 8284902F 766FD95B 7977E8E4 7EAADBC0 7C6E15A5 267795C5 7CD51DD9 24EF074F 7A9C7FBF 7E66AAE8 7588EFED 7CE86178 80695910 786254A0 78294557 8177C84F 7FC9654E 805DDEB4 7934116B 79D07AA2 7BC0F527 7D1A5559 7E77AB84 7CA9B5FB
7E20CD26	7F13738D 7808D59E 78872169 7E1A46C5 7D87DACB 7EA6DC54 7EE37E4E 7C4D8EFE
5BDE5DD9	0869851F 77FED5F2 05C2A3BF 591A4AB3 75FDE1CD 621C8E9E
75222ED7	69CD9A20 17AAE98E 810CFFC3 7CD300CD 77A3C42D 80521F59 8077345F 7F1D5671 80C07903 05ABEA8E 7DEF716B 7EA994A6 7E62990F 7D12F90B
80E41C96	589AB36C 5EF1A07C 7A2FC1F0 5A8F631E 7FEFD3BA 5BD666F7 0C36E51C 7E31F248 69477501
812F652A	777A2D35 5DA23023 8178C236 7F42F873
7DA55B99	743753B4 0B50B5D9 7EE29C8A 80FD86F6
7F4BB2FB	6EE21457 7FD2BD7C 7CD6261E 5BF7A536 7917BAEE
7D08DC85	7D699F58 80AA178D 6CCD9FBB 7EA4EAD4 7F69C9C5 0142701D 7F64B626 7D69C99D 7ECF8D1C 0B032BDE
