80DAB4A3	5E329E0E 79EE3CA9 8207F262 750A1AC9 7BFA9CE4 7FB43E27 7C7E27EC 5C0236E6 80AB20C3 7E3A8034 788131C7 7E4D0B1D 7F36EA8D 80031D38 5A53F24A 81711250 5875568E 7C3F2F29 322AC240 072B6EE7 7EE10DF6 785FFF6A 789B7290 5A12C343 7E3A6625 812BAB76 7A66D532 76CDDBD8 7B3F8662 0EBCF879
7B7CA8B6	7F5B5274 7D46DCA8 5FC1C1B0 7416B18D 59005267 7EDD1CFB 76398020 7CEB0907 7A699E18 7926AFB3 7B203903 5DF4486C 7AAC8B98 5BF6C0CD 005EB132 75F14E2F 77E93A19 7918CB62 04CB239E 594E1F02 0A95D236 81773925 499A5602 78CA528F 7C43B6E0 8086091A 80997DBF
860C1E26	7AC83E12 812B5BB1 80C548AC 7E11E381 03BFECD6 7F4DECE9 779CC3F1
77A9D61E	8031F43D 8179122D 5FB4DE45 7D572F5C 810454BF 75C506F2 7CCB97C7 5F02FE51 779C235E 80B940A8 689FA895 7E9C9E98 7B6939C6 2CE3173B 7D4D0AF1 5DB05423 6409AE20 768A88AF 80508A7F 7E6C8D5A 7F46000D 7C43B6E0 7DB4022B 81F30A86 7CEDBD51
798F2917	7D33FE70 5F02FE51 7B468CB1 768A88AF 80EF0EE1 09F9406F 599310A8 7F83B67A 5BD032C5 08579D60 7B9ABEA5 689FA895 5DB05423 7C34A5EE 5E4DBD36
77823C2B	8078CA68 714BFAEF 75228DE6 75B90CD2 7E0E47AB 7558B5AA 7E08F37B 7BBF0D3B 7E8D94FF
76F5CAC6	7B73B41C 7F423B5B 06A01191 7D7BBA3A 7FB8F5D2 7D20AF5E 78C3B4E3 7FFEF8DF 780B4328 7624A8EF 2425D131 77A4A476 7682AB49 76DFA27B 7E63F075 793680EB 7CC3A1EC 7DCE531B 7BE5EECE 7997979F 7D22D771 7A1CBD58 7CBE18D2 75521FDE 7C3A2FD8 769CE26C 76126A7C 78717201 77C25405
76AC74DF	7A5264D3 782CE416 7E59E9AB 75809204 04443984
80B879CA	59B3E6B2 5ABFD9C2 5D203B0E 0662EC38 001EAA8C 7E89467C 7A98D6F0
0D58CA0C	5A8CAE33 75BF2D63 78D8F514
77364B4A	7ECB964B 78AE02BE 764A8161 79DCD754 759C2138 7E32F337 7E676C5E 7F07F955 807587E2 7BB9DF6E 7F74CB13 7FCC46EF 76D4223B 7D126C64 7864779F 79469A25 7F659087 7AF76C31 7BCDAB6D 7568712F 7C42ABC1 7E307343 7B17B918 75C4A447 7EAC561B 791108DF 7A7F1735 7E5518D0 81BAD092 7533E379 7E334541 7F656148 7FDBCBE7 75D74D84 7662BFEB 766382E5 788AA876 800886CE 810E917B 7E0F737B 78FA27B0 79C44F18 7D9136B0 811D682C 7E15E342 75CA7C81 77237298 75FEFED6 7CAB56C4 12F558A3 7C7AE7A2 7E24552A 81710501 7BEEFCA0 7F4C20D4 7DBAACE5 7BDEF50E 76378764 80AC38E3
7892598C	1096470A 07DF0427 767238DE 7D73D834 75523BB3 77D07CBB 768B3A41 7595BFAD 8120F2CD 09F02F00
781218D5	7866C254 765926D0 7A13CFDC 6EADA00E 76975E8A 75D03027 069A29E7 7DAA22B2 78AA207E 03FF1AB9 7A059493 796EDC12 824FBB62 5C988A8C 757505F6 79D1541A 776311D9 77E6AF1C 05A30B05 78047034 7AF5CA52 7BE5B95B 7EC2251C 79957797 61520638 75548498 7C2AB2BC 7C8D7E99 7EA42142 7786D7DF 77F26475 7AB8A48F 2F464D8A 7E280521 815F2F2A 75EF5074 7657FB05 79788CCB 7BDEF50E 06533A7A 76248C95 5A131D8F 6E27ED49 80083A38 7A3CDE61 5ACB457A 7C8F372E 80F26808
