76B08928	5BEEBB77 09AEEE4F 732FE936 58A0892D 7F2B7AED 80439F0B 7EB1E5D2 7F7499B9 783FB087 7F531BCA 5BFCD396 81096947 5A62DAE6 5E073B31 79B59229 7A17EB88 79EE91E8 7E0537B3 80B36DF3 5C392882 7E05F7A0 806045D8 6E617CFB 8110E42F 80EFF0CD 0760E194 7DCA2D89 7E4C87CC 792647DE 7E0173B4 7A003136 7FF5C4D5 8145B729 80D1E3E7 0BE188AE 8117F8D0 78C6F465 7905F409 7F7F6459 710B35F7 7FEB147C 79431B03 59F59C8B 7A8049D2 761070B6 7F0745BF
7EDDCD80	7F01B239 7DD04D38 80CF76DE
7D610842	8109AC20 7EAAD825 7E52FF85 7DB44273 7FE37086 7AED22CB 7E2C4679
7E33035F	7E4E0C31 7BE4694A 80E87954 810255F8
77909F2D	7FB763DD 7F9379BE 808FD230 7E2DAD9E 61BD4AF1 6ACD3F97 7F19F4DD 8097EABF 80CF0B1B 7DB78730 7EA703CB 709D23EB 7EECDD0E 7CF0EB54
7CF646B0	7AB2C169 7CA16654 7CEAF6EF 0C59B825 7F77C7D3 7FB6C971 824015CA 7FB763DD 7EE71808 80DB5AB2 7F0B8455 80CF0B1B 80C497D6 7F9379BE 7AE3AFF9
785052E1	769E5598 8034D228 80D5E58C 7ACEB37A 75C8D07B 7A704475 7A1F8977 7EDFE9E0 7FB3ABDE 7FB6C971 7FE858F6 7576667A 7D2266CC 7CEAF6EF 61BD4AF1 7F5D15FB 8072A48F 80A7C174 803E9E02 786AD364 75A45DE6 7C8A1891 809B7EA0 7C23E239 7FCCCBB3 7D9D95F4 7ED2629A 7A8049D2 7EB0B9DE 7602567E
810A38AF	7E112C26 7D3F6707 7FD3F318 7C9F0892 7D30E0D9 7E8BBF5C 80D1E3E7 825F26C5 7673483B 80439F0B 80B36DF3 7F58BF45 809DEFF6 7D3994FD 7EFA48E0 8009F985
7D63F054	7FDE1A1F 7A2BDBF6 7812615D 7C8A1891 61BD4AF1 69385BAE 7DB6CB3D 5D91345B 590D8BDF 7E2D547D 76C408D6 806C38BC 8160C667
7E49F265	61BD4AF1 7827B0B7 7FD3F318 81096947 761B17F2
80A04F9E	7EA81812 7D57FBEC 7C36DD3F 7F95A67A 7D3A8D03 7A4F6A86
81185221	8034D228 586D34B4 5A6BD615 7BA0D5A2 102D0EE7 7CF0EB54 7E22B7C9 7F9379BE 0589BD70 7EA703CB 80DD0CB0
680390EB	77610135 806C38BC 7ED2629A
7F78EA7E	58F6274B 5BEB30C9 5D91345B 03249FF5 5EA267EC 7812615D 77669099 709D23EB 7FDE1A1F 5FFC6186
7F3F3E96	7F045265 7F78FCDF 591FEBBA 61BD4AF1 5B78E5CB
03249FF5	7D43818A 7812615D 7FDE1A1F 7DB1039D 7EAED193 04FAD25C 78F08AE0 5EA267EC
7A187E3A	76D8D49C 4562CC64 7E04BE11 7ED2629A 8420B4C1 7EC8B8E4 7812615D 5CD7006B 83AC90FF 7E23C1C2 8055257B 7EDA8845 61BD4AF1 7D43818A 5AD18CAD 79399E5B 813F1CE2 80A5F326 7FCCCBB3 5962D54F 7F0E2B98
5EF6C854	680390EB 80DCEB0B 7B804619 7DB6CB3D 7FEA0381 7812615D 58330F00 588DEA1A 80E54A84 7FDE1A1F
7BE75C2F	80245A40 80621D34 806165B0 754F0BDC 7DD2B9E1 7DB7B1F3 7E1846D9 7DFFBBB9 7A18002D 7E155B10
7F9379BE	7E22B7C9 7D90D086 80D5E58C 680390EB 7CF0EB54 80E54A84 8034D228 7EA703CB 6C3011C2 7EB6BFE9 77263017 80C3BCCE 7DB1039D
756D6D85	5A2B319C 7F5BC9C6 80A4AD64 80BB4AA9 85CFE299
79D63D23	7BBA1E3B 7C2CD1D8 790BB3E4 766A2C99 81047121 7A9A141E 80CBF6D4 241AE149
80872CF5	7ED2629A 7E74B78A 7F132B4F 61BD4AF1 814DF577
7EA5C558	5C891CBE 04290D7E 7F186029 5EC9D138 779B44E8 5B370569 5884E5F7
76197CBB	7ED2629A 782F5C5C 7FFA958A 7CE409F8 7FCCCBB3
5DB6F04D	7EC292A2 8162B29E 7D611751 5D379311 7F3276B1 7EEF99F4 61BD4AF1 7629C858 76229A1F
7A3F7AC9	7877414D 7E4495D3 7D88C723 7E634038 7E5C3063 80124281 76FCA651
7DA6A65E	586FA6C7 7FB00278 5ADF4205 6BA0CE9E 80F7C949 76B79E26 7EC292A2 5971A2DA 7D982239 7DC6D4E4
775B0E8C	5853A39F 7ECA4363 0AD51582
591D0EDC	6EACC102 7DB1039D 8057A35B 7CF0EB54
598317D1	79A56CBB 5D12BD74 757CA56E 77F86F6F 80BB4AA9 7BFE5692 7DB6CB3D 78CA33DD 7E28B14A 7ED2629A 7601A5FA 783724D7 0BE430D2
5E4FF945	7C943D9C 06A89765 7EA703CB 7E226AA0 80DD0CB0 790BB3E4 7F64333B 7ED41323
80F18F6D	7D209E81 7EF30B4C 7F8D1E7E 75787F4A 5D56F76C 7E730CAF 7CAAA1E1 7E182C42 814A3EC0 77E19858 7E7924FB 7FCB7A3D 802C5327 7CF0D433 806826C9 80A7364A
